"id","k_element","old_jlpt","new_jlpt"
"1538","逝","1","1"
"1540","青","3","4"
"1541","静","2","3"
"1542","斉","1","1"
"1543","税","2","2"
"1545","隻","1","2"
"1546","席","2","3"
"1547","惜","1","1"
"1549","斥","1","1"
"1550","昔","2","3"
"1551","析","1","1"
"1552","石","2","3"
"1553","積","2","3"
"1554","籍","1","2"
"1555","績","2","2"
"1557","責","2","3"
"1558","赤","3","4"
"1559","跡","1","2"
"1561","碩","1","1"
"1562","切","3","4"
"1563","拙","1","1"
"1564","接","2","2"
"1565","摂","1","1"
"1566","折","2","3"
"1567","設","2","2"
"1568","窃","1","1"
"1569","節","2","1"
"1570","説","3","3"
"1571","雪","2","3"
"1572","絶","2","3"
"1573","舌","1","1"
"1575","仙","1","1"
"1576","先","4","5"
"1577","千","4","5"
"1578","占","2","2"
"1579","宣","1","1"
"1580","専","2","2"
"1582","川","4","5"
"1583","戦","2","3"
"1584","扇","1","1"
"1586","栓","1","1"
"1588","泉","2","2"
"1589","浅","2","2"
"1590","洗","3","3"
"1591","染","1","1"
"1592","潜","1","1"
"1595","旋","1","1"
"1598","線","2","2"
"1599","繊","1","1"
"1603","船","2","3"
"1604","薦","1","1"
"1607","践","1","1"
"1608","選","2","3"
"1609","遷","1","1"
"1610","銭","1","1"
"1611","銑","1","1"
"1613","鮮","1","1"
"1614","前","4","5"
"1615","善","2","1"
"1616","漸","1","1"
"1617","然","2","3"
"1618","全","2","3"
"1619","禅","1","1"
"1620","繕","1","1"
"1624","塑","1","1"
"1626","措","1","1"
"1632","疎","1","1"
"1633","礎","1","1"
"1634","祖","2","3"
"1635","租","1","1"
"1636","粗","1","1"
"1637","素","1","1"
"1638","組","2","3"
"1640","訴","1","1"
"1641","阻","1","1"
"1644","僧","1","1"
"1645","創","1","1"
"1646","双","2","2"
"1648","倉","1","1"
"1649","喪","1","1"
"1650","壮","1","1"
"1651","奏","1","1"
"1652","爽","1","1"
"1654","層","2","2"
"1656","惣","1","1"
"1657","想","2","3"
"1658","捜","2","2"
"1659","掃","2","2"
"1660","挿","1","1"
"1662","操","2","1"
"1663","早","3","4"
"1664","曹","1","1"
"1665","巣","1","1"
"1667","槽","1","1"
"1669","燥","2","2"
"1670","争","2","3"
"1672","相","2","3"
"1673","窓","2","3"
"1675","総","2","2"
"1676","綜","1","1"
